trial_id,participant_id,age,gender,height_cm,weight_kg,surface,shoes,false_start,total_time_sec,performance_band,timestamp_ms,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,split_1_sec,split_2_sec,split_3_sec,split_4_sec,max_velocity_ms,avg_velocity_ms,stride_length_cm,stride_frequency_hz,avg_turn_time_ms,change_of_direction_deficit,acceleration_time_sec,deceleration_time_sec,reaction_time_ms,fatigue_index,coordination_score,balance_score,agility_rating,knee_lift_angle_deg,arm_swing_amplitude_deg,body_lean_angle_deg,foot_strike_pattern,balance_recovery_time_ms,hr_baseline_bpm,hr_peak_bpm,hr_recovery_30s_bpm
SH0001,P001,18,M,179.0,68.3,grass,cross_trainers,0,12.99,Average,1704079800000,-1.72,-1.03,8.62,0.586,0.101,0.499,3.0,3.15,3.26,3.58,2.49,3.08,166.0,3.4,575.0,0.41,1.31,0.98,180.0,0.23,7.5,7.8,9.1,81.0,83.0,18.0,forefoot,120.0,79.0,158.0,126.0
SH0002,P002,18,M,187.2,62.8,rubberized_floor,turf_shoes,0,10.8,Very Good,1704079830000,0.92,-0.18,8.74,-0.008,-0.466,0.982,2.5,2.9,2.82,2.58,3.34,3.7,196.0,4.3,555.0,0.4,1.94,0.85,208.0,0.14,6.8,6.2,7.3,89.0,101.0,13.0,forefoot,142.0,76.0,119.0,84.0
SH0003,P003,17,M,169.6,77.3,gym_floor,spikes,0,12.22,Good,1704079860000,1.36,-1.28,9.22,-0.615,0.363,0.296,3.16,3.25,3.04,2.78,3.05,3.27,147.0,4.1,479.0,0.48,1.65,1.26,154.0,0.09,8.0,8.1,7.7,61.0,118.0,13.0,forefoot,372.0,65.0,121.0,91.0
SH0004,P004,32,M,182.5,60.3,rubberized_floor,turf_shoes,0,11.25,Very Good,1704079890000,2.15,0.92,9.77,0.594,0.304,-0.752,2.55,2.69,2.78,3.23,4.11,3.56,189.0,4.3,620.0,0.1,1.61,1.05,291.0,0.16,6.9,6.5,7.4,78.0,122.0,14.0,heel,389.0,65.0,125.0,104.0
SH0005,P005,33,F,162.4,82.6,synthetic_track,cross_trainers,0,15.95,Below Average,1704079920000,-1.78,-0.03,10.47,-0.413,0.172,0.628,4.02,3.72,4.2,4.0,2.25,2.51,143.0,3.3,595.0,0.12,1.67,1.21,247.0,0.11,6.1,8.0,6.9,84.0,103.0,24.0,forefoot,202.0,62.0,139.0,107.0
SH0006,P006,25,F,164.1,66.1,gym_floor,cross_trainers,0,13.24,Average,1704079950000,1.59,0.17,9.56,-0.413,-0.407,0.953,3.63,3.52,3.46,2.64,3.5,3.02,160.0,3.1,556.0,0.18,1.92,1.16,151.0,0.11,6.0,6.4,8.7,79.0,122.0,19.0,forefoot,314.0,65.0,118.0,88.0
SH0007,P007,25,M,182.7,75.0,synthetic_track,turf_shoes,0,11.04,Very Good,1704079980000,-2.03,-0.4,9.03,-0.41,0.473,-0.257,2.76,2.63,2.86,2.8,4.19,3.62,157.0,3.0,613.0,0.42,1.34,1.36,152.0,0.37,9.8,9.7,7.5,75.0,138.0,24.0,midfoot,188.0,68.0,142.0,120.0
SH0008,P008,26,F,175.3,60.1,synthetic_track,turf_shoes,0,12.03,Good,1704080010000,2.18,0.59,9.64,-0.645,0.115,1.176,3.15,2.94,2.91,3.03,2.85,3.33,170.0,4.2,654.0,0.53,1.93,1.11,255.0,0.33,8.0,9.2,8.6,91.0,100.0,14.0,forefoot,273.0,61.0,119.0,93.0
SH0009,P009,27,M,180.5,50.6,rubberized_floor,basketball_shoes,0,11.76,Good,1704080040000,-1.86,0.07,10.04,-0.455,0.123,-0.995,3.28,2.95,2.86,2.68,2.79,3.4,188.0,3.4,604.0,0.32,1.26,0.82,211.0,0.11,9.9,9.3,8.8,65.0,95.0,17.0,midfoot,298.0,66.0,144.0,114.0
SH0010,P010,34,F,169.6,79.2,rubberized_floor,cross_trainers,0,15.55,Below Average,1704080070000,-0.4,-0.76,9.21,0.413,-0.486,-0.921,3.51,3.88,3.87,4.28,2.1,2.57,135.0,3.7,559.0,0.3,1.69,1.18,225.0,0.35,6.2,7.5,8.5,83.0,90.0,9.0,midfoot,108.0,72.0,149.0,123.0
